id_specjalizacji,nazwa_specjalizacji,opis
1,Genetyka kliniczna,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
2,Zdrowie publiczne,Specjalizacja zajmująca się diagnozowaniem i leczeniem schorzeń.
3,Chirurgia onkologiczna,Dziedzina medycyny skupiona na profilaktyce i terapii.
4,Diabetologia,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
5,Patomorfologia,Stosowana w leczeniu pacjentów w różnym wieku.
6,Chirurgia ogólna,Specjalizacja zajmująca się diagnozowaniem i leczeniem schorzeń.
7,Medycyna ratunkowa,Związana z opieką specjalistyczną i szpitalną.
8,Stomatologia dziecięca,Związana z opieką specjalistyczną i szpitalną.
9,Farmakologia kliniczna,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
10,Kardiologia dziecięca,Związana z opieką specjalistyczną i szpitalną.
11,Foniatria,Dziedzina medycyny skupiona na profilaktyce i terapii.
12,Laryngologia,Dziedzina medycyny skupiona na profilaktyce i terapii.
13,Neurologia dziecięca,Stosowana w leczeniu pacjentów w różnym wieku.
14,Protetyka stomatologiczna,Specjalizacja zajmująca się diagnozowaniem i leczeniem schorzeń.
15,Ortopedia dziecięca,Specjalizacja zajmująca się diagnozowaniem i leczeniem schorzeń.
16,Periodontologia,Stosowana w leczeniu pacjentów w różnym wieku.
17,Położnictwo,Związana z opieką specjalistyczną i szpitalną.
18,Transplantologia,Dziedzina medycyny skupiona na profilaktyce i terapii.
19,Dermatologia,Stosowana w leczeniu pacjentów w różnym wieku.
20,Chirurgia klatki piersiowej,Stosowana w leczeniu pacjentów w różnym wieku.
21,Audiologia,Specjalizacja zajmująca się diagnozowaniem i leczeniem schorzeń.
22,Radiologia,Związana z opieką specjalistyczną i szpitalną.
23,Psychiatria,Stosowana w leczeniu pacjentów w różnym wieku.
24,Endokrynologia,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
25,Gastroenterologia,Dziedzina medycyny skupiona na profilaktyce i terapii.
26,Okulistyka,Stosowana w leczeniu pacjentów w różnym wieku.
27,Stomatologia zachowawcza,Stosowana w leczeniu pacjentów w różnym wieku.
28,Rehabilitacja medyczna,Związana z opieką specjalistyczną i szpitalną.
29,Urologia,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
30,Alergologia,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
31,Toksykologia kliniczna,Dziedzina medycyny skupiona na profilaktyce i terapii.
32,Epidemiologia,Specjalizacja zajmująca się diagnozowaniem i leczeniem schorzeń.
33,Choroby płuc,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
34,Chirurgia naczyniowa,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
35,Medycyna sądowa,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
36,Onkologia,Związana z opieką specjalistyczną i szpitalną.
37,Interna,Dziedzina medycyny skupiona na profilaktyce i terapii.
38,Ortopedia,Wymaga szczegółowej wiedzy i doświadczenia klinicznego.
39,Nefrologia,Związana z opieką specjalistyczną i szpitalną.
