id_badania,nazwa,opis
1,USG jamy brzusznej,Wskazanie do wykonania w ramach profilaktyki.
2,Cytologia,Standardowe badanie diagnostyczne.
3,Badanie przeciwciał,Badanie obrazowe wysokiej rozdzielczości.
4,RTG klatki piersiowej,Zalecane przy podejrzeniu infekcji.
5,Badanie poziomu witaminy D,Ocena stanu układu krążenia.
6,Badanie kału,Standardowe badanie diagnostyczne.
7,Test alergiczny,Pomiar funkcji narządów wewnętrznych.
8,Badanie okulistyczne,Wymaga przygotowania na czczo.
9,RTG klatki piersiowej,Ocena stanu układu krążenia.
10,Badanie poziomu witaminy D,Wymaga przygotowania na czczo.
11,Kolonoskopia,Badanie obrazowe wysokiej rozdzielczości.
12,Spirometria,Nieinwazyjne i bezbolesne.
13,Test alergiczny,Stosowane w diagnostyce przewlekłych chorób.
14,Badanie kału,Pomiar funkcji narządów wewnętrznych.
15,Badanie kału,Wyniki dostępne w ciągu 24 godzin.
16,Morfologia krwi,Standardowe badanie diagnostyczne.
17,Badanie okulistyczne,Zalecane przy podejrzeniu infekcji.
18,Spirometria,Zalecane przy podejrzeniu infekcji.
19,Badanie okulistyczne,Ocena stanu układu krążenia.
20,Badanie tarczycy,Wskazanie do wykonania w ramach profilaktyki.
21,Spirometria,Wyniki dostępne w ciągu 24 godzin.
22,Spirometria,Zalecane przy podejrzeniu infekcji.
23,Lipidogram,Pomiar funkcji narządów wewnętrznych.
24,Tomografia komputerowa,Wyniki dostępne w ciągu 24 godzin.
25,Test alergiczny,Wyniki dostępne w ciągu 24 godzin.
26,Badanie hormonalne,Pomiar funkcji narządów wewnętrznych.
27,Test alergiczny,Wyniki dostępne w ciągu 24 godzin.
28,Lipidogram,Standardowe badanie diagnostyczne.
29,Holter EKG,Wymaga przygotowania na czczo.
30,Holter EKG,Pomiar funkcji narządów wewnętrznych.
31,Badanie okulistyczne,Zalecane przy podejrzeniu infekcji.
32,Echo serca,Stosowane w diagnostyce przewlekłych chorób.
33,Badanie poziomu witaminy D,Wymaga przygotowania na czczo.
34,Badanie tarczycy,Badanie obrazowe wysokiej rozdzielczości.
35,EKG,Standardowe badanie diagnostyczne.
36,Badanie przeciwciał,Pomiar funkcji narządów wewnętrznych.
37,Badanie kału,Stosowane w diagnostyce przewlekłych chorób.
38,EKG,Nieinwazyjne i bezbolesne.
39,Holter EKG,Wskazanie do wykonania w ramach profilaktyki.
40,Spirometria,Badanie obrazowe wysokiej rozdzielczości.
41,Badanie hormonalne,Wyniki dostępne w ciągu 24 godzin.
42,Holter EKG,Ocena stanu układu krążenia.
43,Badanie poziomu witaminy D,Stosowane w diagnostyce przewlekłych chorób.
44,Test obciążenia glukozą,Ocena stanu układu krążenia.
45,Test obciążenia glukozą,Badanie obrazowe wysokiej rozdzielczości.
46,Spirometria,Nieinwazyjne i bezbolesne.
47,Test PCR,Stosowane w diagnostyce przewlekłych chorób.
48,RTG klatki piersiowej,Wyniki dostępne w ciągu 24 godzin.
49,Kolonoskopia,Wskazanie do wykonania w ramach profilaktyki.
50,Test obciążenia glukozą,Nieinwazyjne i bezbolesne.
51,Echo serca,Zalecane przy podejrzeniu infekcji.
52,Test alergiczny,Wskazanie do wykonania w ramach profilaktyki.
53,Badanie hormonalne,Nieinwazyjne i bezbolesne.
54,Test alergiczny,Ocena stanu układu krążenia.
55,Badanie kału,Standardowe badanie diagnostyczne.
56,USG jamy brzusznej,Stosowane w diagnostyce przewlekłych chorób.
57,Holter EKG,Ocena stanu układu krążenia.
58,Badanie okulistyczne,Wyniki dostępne w ciągu 24 godzin.
59,Tomografia komputerowa,Wyniki dostępne w ciągu 24 godzin.
60,Rezonans magnetyczny,Wymaga przygotowania na czczo.
61,Holter EKG,Wymaga przygotowania na czczo.
62,Test obciążenia glukozą,Wskazanie do wykonania w ramach profilaktyki.
63,Tomografia komputerowa,Badanie obrazowe wysokiej rozdzielczości.
64,Badanie kału,Wymaga przygotowania na czczo.
65,Test obciążenia glukozą,Zalecane przy podejrzeniu infekcji.
66,Rezonans magnetyczny,Zalecane przy podejrzeniu infekcji.
67,Badanie przeciwciał,Badanie obrazowe wysokiej rozdzielczości.
68,Echo serca,Standardowe badanie diagnostyczne.
69,Badanie poziomu cukru,Nieinwazyjne i bezbolesne.
70,Test obciążenia glukozą,Wymaga przygotowania na czczo.
71,Tomografia komputerowa,Badanie obrazowe wysokiej rozdzielczości.
72,Spirometria,Standardowe badanie diagnostyczne.
73,Badanie okulistyczne,Stosowane w diagnostyce przewlekłych chorób.
74,Holter EKG,Wymaga przygotowania na czczo.
75,Tomografia komputerowa,Nieinwazyjne i bezbolesne.
76,EKG,Standardowe badanie diagnostyczne.
77,EKG,Standardowe badanie diagnostyczne.
78,Tomografia komputerowa,Wymaga przygotowania na czczo.
79,Tomografia komputerowa,Standardowe badanie diagnostyczne.
80,Morfologia krwi,Zalecane przy podejrzeniu infekcji.
81,Badanie okulistyczne,Badanie obrazowe wysokiej rozdzielczości.
82,Badanie poziomu cukru,Wskazanie do wykonania w ramach profilaktyki.
83,Lipidogram,Ocena stanu układu krążenia.
84,EKG,Standardowe badanie diagnostyczne.
85,Morfologia krwi,Badanie obrazowe wysokiej rozdzielczości.
86,Badanie przeciwciał,Stosowane w diagnostyce przewlekłych chorób.
87,Badanie hormonalne,Badanie obrazowe wysokiej rozdzielczości.
88,Badanie hormonalne,Wskazanie do wykonania w ramach profilaktyki.
89,Badanie okulistyczne,Ocena stanu układu krążenia.
90,EKG,Standardowe badanie diagnostyczne.
91,Holter EKG,Zalecane przy podejrzeniu infekcji.
92,Gastroskopia,Wymaga przygotowania na czczo.
93,Cytologia,Ocena stanu układu krążenia.
94,USG jamy brzusznej,Wyniki dostępne w ciągu 24 godzin.
95,RTG klatki piersiowej,Wymaga przygotowania na czczo.
96,Holter EKG,Wyniki dostępne w ciągu 24 godzin.
97,Kolonoskopia,Wymaga przygotowania na czczo.
98,Badanie przeciwciał,Zalecane przy podejrzeniu infekcji.
99,Test obciążenia glukozą,Badanie obrazowe wysokiej rozdzielczości.
100,Test PCR,Standardowe badanie diagnostyczne.
101,Echo serca,Wyniki dostępne w ciągu 24 godzin.
102,Lipidogram,Badanie obrazowe wysokiej rozdzielczości.
103,Badanie przeciwciał,Nieinwazyjne i bezbolesne.
104,Badanie moczu,Pomiar funkcji narządów wewnętrznych.
