id_diagnozy,nazwa,opis
1,Zawał serca,Wskazane badania kontrolne za 2 tygodnie.
2,Depresja,Zalecana zmiana stylu życia i diety.
3,Zapalenie pęcherza,Leczenie szpitalne nie jest wymagane.
4,COVID-19,Wymaga dalszej diagnostyki.
5,Borelioza,Zalecana konsultacja specjalistyczna.
6,Angina,Zalecane leczenie farmakologiczne.
7,Zespół napięcia przedmiesiączkowego,Wymaga dalszej diagnostyki.
8,Borelioza,Stosować leki zgodnie z zaleceniami.
9,Cukrzyca typu 2,Zalecane leczenie farmakologiczne.
10,COVID-19,Stosować leki zgodnie z zaleceniami.
11,Egzema,Zalecana konsultacja specjalistyczna.
12,Niedoczynność tarczycy,"Przebieg łagodny, leczenie objawowe."
13,Choroba refluksowa,Zalecana konsultacja specjalistyczna.
14,Zapalenie płuc,Stosować leki zgodnie z zaleceniami.
15,Zapalenie spojówek,"Przebieg łagodny, leczenie objawowe."
16,Anemia,Zalecane leczenie farmakologiczne.
17,Zapalenie oskrzeli,Zalecane leczenie farmakologiczne.
18,Migrena,Leczenie szpitalne nie jest wymagane.
19,Niedoczynność tarczycy,"Ryzyko nawrotu choroby, zachować ostrożność."
20,Zapalenie oskrzeli,Zalecana konsultacja specjalistyczna.
21,Choroba refluksowa,Konieczność obserwacji w warunkach domowych.
22,Angina,"Przebieg łagodny, leczenie objawowe."
23,Anemia,Zalecane leczenie farmakologiczne.
24,Zespół jelita drażliwego,Wymaga dalszej diagnostyki.
25,Zespół napięcia przedmiesiączkowego,Wskazane badania kontrolne za 2 tygodnie.
26,Reumatoidalne zapalenie stawów,Konieczność obserwacji w warunkach domowych.
27,Nadciśnienie,Wymaga dalszej diagnostyki.
28,Cukrzyca typu 2,Leczenie szpitalne nie jest wymagane.
29,Zapalenie spojówek,Zalecane leczenie farmakologiczne.
30,Grypa,Leczenie szpitalne nie jest wymagane.
31,Osteoporoza,Wymaga dalszej diagnostyki.
32,Niedoczynność tarczycy,"Przebieg łagodny, leczenie objawowe."
33,Zapalenie zatok,Stosować leki zgodnie z zaleceniami.
34,Zapalenie wątroby typu A,Leczenie szpitalne nie jest wymagane.
35,Angina,Konieczność obserwacji w warunkach domowych.
36,Zespół jelita drażliwego,"Ryzyko nawrotu choroby, zachować ostrożność."
37,Egzema,Wymaga dalszej diagnostyki.
38,Choroba wieńcowa,Zalecana zmiana stylu życia i diety.
39,Nowotwór płuc,Wskazane badania kontrolne za 2 tygodnie.
40,Choroba refluksowa,Wskazane badania kontrolne za 2 tygodnie.
41,Nadciśnienie,"Przebieg łagodny, leczenie objawowe."
42,Zapalenie spojówek,Leczenie szpitalne nie jest wymagane.
43,Zespół jelita drażliwego,"Ryzyko nawrotu choroby, zachować ostrożność."
44,Choroba refluksowa,Leczenie szpitalne nie jest wymagane.
45,Anemia,Wskazane badania kontrolne za 2 tygodnie.
46,Angina,"Ryzyko nawrotu choroby, zachować ostrożność."
47,Niedoczynność tarczycy,Stosować leki zgodnie z zaleceniami.
48,Migrena,"Ryzyko nawrotu choroby, zachować ostrożność."
49,Depresja,Zalecana zmiana stylu życia i diety.
50,Angina,Wskazane badania kontrolne za 2 tygodnie.
51,Depresja,"Ryzyko nawrotu choroby, zachować ostrożność."
52,Zapalenie płuc,"Ryzyko nawrotu choroby, zachować ostrożność."
53,Migrena,Konieczność obserwacji w warunkach domowych.
54,Borelioza,Zalecana konsultacja specjalistyczna.
55,Nadciśnienie,Wymaga dalszej diagnostyki.
56,Zapalenie pęcherza,"Przebieg łagodny, leczenie objawowe."
57,Atopowe zapalenie skóry,Zalecana zmiana stylu życia i diety.
58,Anemia,Wymaga dalszej diagnostyki.
59,Osteoporoza,Wskazane badania kontrolne za 2 tygodnie.
60,Nowotwór płuc,Leczenie szpitalne nie jest wymagane.
61,Depresja,Zalecane leczenie farmakologiczne.
62,Atopowe zapalenie skóry,Konieczność obserwacji w warunkach domowych.
63,Zapalenie spojówek,Konieczność obserwacji w warunkach domowych.
64,Borelioza,Zalecana konsultacja specjalistyczna.
65,Zapalenie oskrzeli,Stosować leki zgodnie z zaleceniami.
66,Zapalenie spojówek,Zalecane leczenie farmakologiczne.
67,Zespół jelita drażliwego,"Przebieg łagodny, leczenie objawowe."
68,Atopowe zapalenie skóry,Leczenie szpitalne nie jest wymagane.
69,Atopowe zapalenie skóry,Stosować leki zgodnie z zaleceniami.
70,Anemia,Stosować leki zgodnie z zaleceniami.
71,Nowotwór piersi,"Ryzyko nawrotu choroby, zachować ostrożność."
72,Nadciśnienie,Wymaga dalszej diagnostyki.
73,Zapalenie wątroby typu A,Wymaga dalszej diagnostyki.
74,Zespół napięcia przedmiesiączkowego,Zalecana konsultacja specjalistyczna.
75,Grypa,Zalecana konsultacja specjalistyczna.
76,Zapalenie gardła,Zalecana konsultacja specjalistyczna.
77,Egzema,"Ryzyko nawrotu choroby, zachować ostrożność."
