id_miejscowosc,nazwa,id_gmina
1,Stara Olszyny,383
2,Leśna Grabnica,56
3,Wesoła Odrno,519
4,Szeroka Zawadanka,474
5,Wielki Łomża,120
6,Wilcza Krzywanka,505
7,Sucha Białówka,5
8,Sucha Brzozno,115
9,Ciepła Borkcze,238
10,Wielki Odrowo,407
11,Dolny Rudnica,271
12,Nowy Topolęta,200
13,Górna Sosnno,270
14,Górna Ropyce,484
15,Wydłużona Piaskówka,93
16,Biała Korytno,47
17,Wydłużona Krzywno,158
18,Nowa Kamienice,320
19,Zielona Brzozcze,278
20,Zielony Sosnnica,437
21,Górna Strumice,533
22,Górny Topolyce,114
23,Mała Wierzchnik,492
24,Wielki Borkęta,485
25,Nowa Białówka,290
26,Stary Modrzew,409
27,Sucha Żuławy,134
28,Mętna Łęgyce,117
29,Biała Kamienyce,536
30,Pusta Złotowo,153
31,Dolna Grabnica,526
32,Górna Zawadanka,479
33,Słoneczna Czernice,212
34,Wielki Wierzchów,171
35,Nowy Złotice,178
36,Ostra Wierzchno,44
37,Dolny Grabyce,572
38,Wysoka Dębnów,380
39,Błękitna Łęgcze,21
40,Dolna Kamienek,553
41,Zielona Rudcze,530
42,Wielka Topolów,69
43,Zielony Białek,234
44,Mały Wilkowo,203
45,Górna Łęgówka,40
46,Czarny Borkówka,210
47,Dolny Borkno,205
48,Nowy Tarnów,459
49,Górny Rudisko,308
50,Szeroka Stawnica,465
51,Spokojna Łęgice,524
52,Mała Wilknica,531
53,Dolny Ropin,503
54,Mała Głęboczek,429
55,Nowy Dębnęta,291
56,Kręta Kamienanka,66
57,Krzywa Krzywęta,149
58,Wysoka Łęgisko,29
59,Mała Dębnów,63
60,Wysoka Wilkek,212
61,Wielki Odrek,428
62,Wesoła Most,413
63,Stary Wierzchno,251
64,Cichy Kobylęta,360
65,Górna Borkno,491
66,Gliniana Topolin,349
67,Cicha Odrnica,90
68,Czarny Dębnin,76
69,Mały Odrisko,54
70,Czarna Odrnica,305
71,Czerwona Piasków,372
72,Stara Korytice,468
73,Ciepła Wilkcze,343
74,Dolny Łęgin,440
75,Spokojna Topolcze,531
76,Cichy Złotnica,109
77,Słoneczna Rudin,245
78,Złota Topolnik,86
79,Górna Żabincze,295
80,Złota Kamień,397
81,Czarna Brzoznik,252
82,Nowy Korytisko,267
83,Wesoła Zawadnica,524
84,Pusta Łęgów,514
85,Bagnista Łęgnik,442
86,Mały Wilknica,496
87,Dolny Kobylanka,87
88,Krzywa Zawadęta,513
89,Biała Borkowo,34
90,Złota Strumyce,363
91,Pusta Miechnik,385
92,Dolny Wierzchyce,72
93,Ciepła Lisówka,527
94,Mały Stawęta,157
95,Borkanka,567
96,Szeroka Rudcze,477
97,Górny Łączki,377
98,Bagnista Bór,461
99,Ciepła Dębnno,82
100,Górna Korytek,472
101,Nowy Wierzchnica,275
102,Pusta Krzywnik,483
103,Gliniana Łęgówka,549
104,Mały Korytyce,594
105,Nowy Lisice,26
106,Stary Białek,60
107,Czarna Krzywów,294
108,Wilcza Sosny,66
109,Ciepła Złotowo,239
110,Gładka Borknica,102
111,Mała Zawadisko,80
112,Zielona Łęgno,382
113,Górny Stróże,173
114,Gładka Białno,478
115,Stara Krzywanka,155
116,Pusta Grabówka,240
117,Krzywa Kamiennica,125
118,Słoneczna Wierzchice,382
119,Wielka Miechek,269
120,Ciepła Kobylek,306
121,Wilcza Zawadnik,176
122,Krzywa Strumowo,199
123,Zielona Sosnnik,3
124,Wydłużona Lisanka,319
