id_powiat,nazwa,id_wojewodztwo
1,Wrocław,1
2,Jelenia Góra,1
3,Legnica,1
4,Wałbrzych,1
5,bolesławiecki,1
6,dzierżoniowski,1
7,głogowski,1
8,górowski,1
9,jaworski,1
10,jeleniogórski,1
11,kamiennogórski,1
12,kłodzki,1
13,legnicki,1
14,lubański,1
15,lubiński,1
16,lwówecki,1
17,milicki,1
18,oleśnicki,1
19,oławski,1
20,polkowicki,1
21,strzeliński,1
22,średzki,1
23,świdnicki,1
24,trzebnicki,1
25,wałbrzyski,1
26,wołowski,1
27,wrocławski,1
28,ząbkowicki,1
29,zgorzelecki,1
30,złotoryjski,1
31,Bydgoszcz,2
32,Toruń,2
33,Włocławek,2
34,Grudziądz,2
35,aleksandrowski,2
36,brodnicki,2
37,bydgoski,2
38,chełmiński,2
39,golubsko-dobrzyński,2
40,grudziądzki,2
41,inowrocławski,2
42,lipnowski,2
43,mogileński,2
44,nakielski,2
45,radziejowski,2
46,rypiński,2
47,sępoleński,2
48,świecki,2
49,toruński,2
50,tucholski,2
51,wąbrzeski,2
52,włocławski,2
53,żniński,2
54,Lublin,3
55,Biała Podlaska,3
56,Chełm,3
57,Zamość,3
58,bialski,3
59,biłgorajski,3
60,chełmski,3
61,hrubieszowski,3
62,janowski,3
63,krasnostawski,3
64,kraśnicki,3
65,lubartowski,3
66,lubelski,3
67,łęczyński,3
68,łukowski,3
69,opolski,3
70,parczewski,3
71,puławski,3
72,radzyński,3
73,rycki,3
74,świdnicki,3
75,tomaszowski,3
76,włodawski,3
77,zamojski,3
78,Gorzów Wielkopolski,4
79,Zielona Góra,4
80,gorzowski,4
81,krośnieński,4
82,międzyrzecki,4
83,nowosolski,4
84,słubicki,4
85,strzelecko-drezdenecki,4
86,sulęciński,4
87,świebodziński,4
88,wschowski,4
89,zielonogórski,4
90,żagański,4
91,żarski,4
92,Łódź,5
93,Piotrków Trybunalski,5
94,Skierniewice,5
95,bełchatowski,5
96,brzeziński,5
97,kutnowski,5
98,łaski,5
99,łęczycki,5
100,łowicki,5
101,łódzki wschodni,5
102,opoczyński,5
103,pabianicki,5
104,pajęczański,5
105,piotrkowski,5
106,poddębicki,5
107,radomszczański,5
108,rawski,5
109,sieradzki,5
110,skierniewicki,5
111,tomaszowski,5
112,wieluński,5
113,wieruszowski,5
114,zduńskowolski,5
115,zgierski,5
116,Kraków,6
117,Nowy Sącz,6
118,Tarnów,6
119,bocheński,6
120,brzeski,6
121,chrzanowski,6
122,dąbrowski,6
123,gorlicki,6
124,krakowski,6
125,limanowski,6
126,miechowski,6
127,myślenicki,6
128,nowosądecki,6
129,nowotarski,6
