id_gmina,nazwa
1,Bolesławiec
2,Bolesławiec
3,Gromadka
4,Nowogrodziec
5,Osiecznica
6,Warta Bolesławiecka
7,Bielawa
8,Dzierżoniów
9,Dzierżoniów
10,Łagiewniki
11,Niemcza
12,Pieszyce
13,Piława Górna
14,Głogów
15,Głogów
16,Jerzmanowa
17,Kotla
18,Pęcław
19,Żukowice
20,Góra
21,Jemielno
22,Niechlów
23,Wąsosz
24,Bolków
25,Jawor
26,Męcinka
27,Mściwojów
28,Paszowice
29,Wądroże Wielkie
30,Jelenia Góra
31,Janowice Wielkie
32,Jeżów Sudecki
33,Karpacz
34,Kowary
35,Mysłakowice
36,Piechowice
37,Podgórzyn
38,Stara Kamienica
39,Szklarska Poręba
40,Kamienna Góra
41,Kamienna Góra
42,Lubawka
43,Marciszów
44,Bystrzyca Kłodzka
45,Duszniki-Zdrój
46,Kłodzko
47,Kłodzko
48,Kudowa-Zdrój
49,Lądek-Zdrój
50,Lewin Kłodzki
51,Międzylesie
52,Nowa Ruda
53,Nowa Ruda
54,Polanica-Zdrój
55,Radków
56,Stronie Śląskie
57,Szczytna
58,Legnica
59,Chojnów
60,Chojnów
61,Krotoszyce
62,Kunice
63,Legnickie Pole
64,Miłkowice
65,Prochowice
66,Ruja
67,Leśna
68,Lubań
69,Lubań
70,Olszyna
71,Platerówka
72,Siekierczyn
73,Świeradów-Zdrój
74,Lubin
75,Lubin
76,Rudna
77,Ścinawa
78,Gryfów Śląski
79,Lubomierz
80,Lwówek Śląski
81,Mirsk
82,Wleń
83,Cieszków
84,Krośnice
85,Milicz
86,Bierutów
87,Dobroszyce
88,Dziadowa Kłoda
89,Międzybórz
90,Oleśnica
91,Oleśnica
92,Syców
93,Twardogóra
94,Domaniów
95,Jelcz-Laskowice
96,Oława
97,Oława
98,Chocianów
99,Gaworzyce
100,Grębocice
101,Polkowice
102,Przemków
103,Radwanice
104,Borów
105,Kondratowice
106,Przeworno
107,Strzelin
108,Wiązów
109,Kostomłoty
110,Kostomłoty
111,Malczyce
112,Malczyce
113,Miękinia
114,Miękinia
115,Środa Śląska
116,Środa Śląska
117,Udanin
118,Udanin
119,Dobromierz
120,Dobromierz
121,Jaworzyna Śląska
122,Jaworzyna Śląska
123,Marcinowice
124,Marcinowice
125,Strzegom
126,Strzegom
127,Świdnica
128,Świdnica
129,Świdnica
130,Świdnica
131,Świebodzice
132,Świebodzice
133,Żarów
134,Żarów
135,Oborniki Śląskie
136,Prusice
137,Trzebnica
138,Wisznia Mała
139,Zawonia
140,Żmigród
141,Boguszów-Gorce
142,Czarny Bór
143,Głuszyca
144,Jedlina-Zdrój
145,Mieroszów
146,Stare Bogaczowice
147,Szczawno-Zdrój
148,Walim
149,Wałbrzych
150,Brzeg Dolny
151,Wińsko
152,Wołów
153,Wrocław
154,Czernica
155,Długołęka
156,Jordanów Śląski
157,Kąty Wrocławskie
158,Kobierzyce
159,Mietków
160,Siechnice
161,Sobótka
162,Żórawina
163,Bardo
164,Ciepłowody
165,Kamieniec Ząbkowicki
166,Stoszowice
167,Ząbkowice Śląskie
168,Ziębice
169,Złoty Stok
170,Bogatynia
171,Pieńsk
172,Sulików
173,Węgliniec
174,Zawidów
175,Zgorzelec
176,Zgorzelec
177,Pielgrzymka
178,Świerzawa
179,Wojcieszów
180,Zagrodno
181,Złotoryja
182,Złotoryja
183,Aleksandrów Kujawski
184,Aleksandrów Kujawski
185,Bądkowo
186,Ciechocinek
187,Koneck
188,Nieszawa
189,Raciążek
190,Waganiec
191,Zakrzewo
192,Bartniczka
193,Bobrowo
194,Brodnica
195,Brodnica
196,Brzozie
197,Górzno
198,Jabłonowo Pomorskie
199,Osiek
200,Świedziebnia
201,Zbiczno
202,Białe Błota
203,Dąbrowa Chełmińska
204,Dobrcz
205,Koronowo
206,Nowa Wieś Wielka
207,Osielsko
208,Sicienko
209,Solec Kujawski
210,Bydgoszcz
211,Chełmno
212,Chełmno
213,Kijewo Królewskie
214,Lisewo
215,Papowo Biskupie
216,Stolno
217,Unisław
218,Ciechocin
219,Golub-Dobrzyń
220,Golub-Dobrzyń
221,Kowalewo Pomorskie
222,Radomin
223,Zbójno
224,Grudziądz
225,Grudziądz
226,Gruta
227,Łasin
