id_miejscowosc,nazwa
1,Stara Olszyny
2,Leśna Grabnica
3,Wesoła Odrno
4,Szeroka Zawadanka
5,Wielki Łomża
6,Wilcza Krzywanka
7,Sucha Białówka
8,Sucha Brzozno
9,Ciepła Borkcze
10,Wielki Odrowo
11,Dolny Rudnica
12,Nowy Topolęta
13,Górna Sosnno
14,Górna Ropyce
15,Wydłużona Piaskówka
16,Biała Korytno
17,Wydłużona Krzywno
18,Nowa Kamienice
19,Zielona Brzozcze
20,Zielony Sosnnica
21,Górna Strumice
22,Górny Topolyce
23,Mała Wierzchnik
24,Wielki Borkęta
25,Nowa Białówka
26,Stary Modrzew
27,Sucha Żuławy
28,Mętna Łęgyce
29,Biała Kamienyce
30,Pusta Złotowo
31,Dolna Grabnica
32,Górna Zawadanka
33,Słoneczna Czernice
34,Wielki Wierzchów
35,Nowy Złotice
36,Ostra Wierzchno
37,Dolny Grabyce
38,Wysoka Dębnów
39,Błękitna Łęgcze
40,Dolna Kamienek
41,Zielona Rudcze
42,Wielka Topolów
43,Zielony Białek
44,Mały Wilkowo
45,Górna Łęgówka
46,Czarny Borkówka
47,Dolny Borkno
48,Nowy Tarnów
49,Górny Rudisko
50,Szeroka Stawnica
51,Spokojna Łęgice
52,Mała Wilknica
53,Dolny Ropin
54,Mała Głęboczek
55,Nowy Dębnęta
56,Kręta Kamienanka
57,Krzywa Krzywęta
58,Wysoka Łęgisko
59,Mała Dębnów
60,Wysoka Wilkek
61,Wielki Odrek
62,Wesoła Most
63,Stary Wierzchno
64,Cichy Kobylęta
65,Górna Borkno
66,Gliniana Topolin
67,Cicha Odrnica
68,Czarny Dębnin
69,Mały Odrisko
70,Czarna Odrnica
71,Czerwona Piasków
72,Stara Korytice
73,Ciepła Wilkcze
74,Dolny Łęgin
75,Spokojna Topolcze
76,Cichy Złotnica
77,Słoneczna Rudin
78,Złota Topolnik
79,Górna Żabincze
80,Złota Kamień
81,Czarna Brzoznik
82,Nowy Korytisko
83,Wesoła Zawadnica
84,Pusta Łęgów
85,Bagnista Łęgnik
86,Mały Wilknica
87,Dolny Kobylanka
88,Krzywa Zawadęta
89,Biała Borkowo
90,Złota Strumyce
91,Pusta Miechnik
92,Dolny Wierzchyce
93,Ciepła Lisówka
94,Mały Stawęta
95,Borkanka
96,Szeroka Rudcze
97,Górny Łączki
98,Bagnista Bór
99,Ciepła Dębnno
100,Górna Korytek
101,Nowy Wierzchnica
102,Pusta Krzywnik
103,Gliniana Łęgówka
104,Mały Korytyce
105,Nowy Lisice
106,Stary Białek
107,Czarna Krzywów
108,Wilcza Sosny
109,Ciepła Złotowo
110,Gładka Borknica
111,Mała Zawadisko
112,Zielona Łęgno
113,Górny Stróże
114,Gładka Białno
115,Stara Krzywanka
116,Pusta Grabówka
117,Krzywa Kamiennica
118,Słoneczna Wierzchice
119,Wielka Miechek
120,Ciepła Kobylek
121,Wilcza Zawadnik
122,Krzywa Strumowo
123,Zielona Sosnnik
124,Wydłużona Lisanka
125,Szeroka Kamienyce
126,Lisowo
127,Twarda Dębnisko
128,Cichy Grabowo
129,Wydłużona Borkisko
130,Wilcza Borkno
131,Ostra Stawcze
132,Mokra Stawek
133,Zielony Kobylice
134,Borknica
135,Gliniana Wilkin
136,Pusta Łęgnik
137,Radosna Sosnęta
138,Pusta Wilkcze
139,Gładka Rudowo
140,Kręta Zarośle
141,Czarny Tarnów
142,Górna Zawadów
143,Cichy Łęgęta
144,Mętna Sosnówka
145,Wielka Kamienisko
146,Słoneczna Kamiencze
147,Złota Ropcze
148,Gliniana Topolnica
149,Nowy Ropnik
150,Czarna Żabinowo
151,Sucha Topolek
152,Piaszczysta Grabice
153,Radosna Brzeźno
154,Słoneczna Kamienęta
155,Wierzchów
156,Pusta Źródło
157,Mokra Sosnyce
158,Cicha Sosnów
159,Błękitna Zawadówka
160,Bagnista Białice
161,Czarna Ropnica
162,Spokojna Kamienin
163,Czerwona Miechnik
164,Biała Kobylno
165,Twarda Sosnówka
166,Cichy Wolica
167,Czarna Dębnice
168,Cicha Lisisko
169,Radosna Jar
170,Górna Krzywice
171,Wilcza Wierch
172,Słoneczna Krzywcze
